PROFILE_TYPE,PROFILE_LEVEL,PERCENT_LEAF,UPDATE_DATE
1,1,0,"2004-10-27 00:00:00"
1,2,.0043,"2004-10-27 00:00:00"
1,3,.0151,"2004-10-27 00:00:00"
1,4,.0273,"2004-10-27 00:00:00"
1,5,.0397,"2004-10-27 00:00:00"
1,6,.0512,"2004-10-27 00:00:00"
1,7,.0613,"2004-10-27 00:00:00"
1,8,.0698,"2004-10-27 00:00:00"
1,9,.0763,"2004-10-27 00:00:00"
1,10,.0806,"2004-10-27 00:00:00"
1,11,.0827,"2004-10-27 00:00:00"
1,12,.0825,"2004-10-27 00:00:00"
1,13,.0799,"2004-10-27 00:00:00"
1,14,.0751,"2004-10-27 00:00:00"
1,15,.0683,"2004-10-27 00:00:00"
1,16,.0594,"2004-10-27 00:00:00"
1,17,.049,"2004-10-27 00:00:00"
1,18,.0373,"2004-10-27 00:00:00"
1,19,.0249,"2004-10-27 00:00:00"
1,20,.0127,"2004-10-27 00:00:00"
1,21,.0027,"2004-10-27 00:00:00"
2,1,0,"2004-10-27 00:00:00"
2,2,.0003,"2004-10-27 00:00:00"
2,3,.0019,"2004-10-27 00:00:00"
2,4,.0056,"2004-10-27 00:00:00"
2,5,.0113,"2004-10-27 00:00:00"
2,6,.0189,"2004-10-27 00:00:00"
2,7,.0279,"2004-10-27 00:00:00"
2,8,.0381,"2004-10-27 00:00:00"
2,9,.0489,"2004-10-27 00:00:00"
2,10,.0598,"2004-10-27 00:00:00"
2,11,.0702,"2004-10-27 00:00:00"
2,12,.0796,"2004-10-27 00:00:00"
2,13,.0871,"2004-10-27 00:00:00"
2,14,.0923,"2004-10-27 00:00:00"
2,15,.0944,"2004-10-27 00:00:00"
2,16,.0928,"2004-10-27 00:00:00"
2,17,.0868,"2004-10-27 00:00:00"
2,18,.0758,"2004-10-27 00:00:00"
2,19,.0595,"2004-10-27 00:00:00"
2,20,.0376,"2004-10-27 00:00:00"
2,21,.0111,"2004-10-27 00:00:00"
3,1,0,"2004-10-27 00:00:00"
3,2,0,"2004-10-27 00:00:00"
3,3,0,"2004-10-27 00:00:00"
3,4,0,"2004-10-27 00:00:00"
3,5,0,"2004-10-27 00:00:00"
3,6,0,"2004-10-27 00:00:00"
3,7,.0001,"2004-10-27 00:00:00"
3,8,.0004,"2004-10-27 00:00:00"
3,9,.0015,"2004-10-27 00:00:00"
3,10,.0045,"2004-10-27 00:00:00"
3,11,.0117,"2004-10-27 00:00:00"
3,12,.026,"2004-10-27 00:00:00"
3,13,.0504,"2004-10-27 00:00:00"
3,14,.0861,"2004-10-27 00:00:00"
3,15,.1295,"2004-10-27 00:00:00"
3,16,.1698,"2004-10-27 00:00:00"
3,17,.1896,"2004-10-27 00:00:00"
3,18,.1717,"2004-10-27 00:00:00"
3,19,.1135,"2004-10-27 00:00:00"
3,20,.0417,"2004-10-27 00:00:00"
3,21,.0034,"2004-10-27 00:00:00"
